Bar~0@0,Swing,4/4,A,140.0
Bass,48,0.0,0.666,66
Drums,44,0.0,0.25,76
Piano,55,0.0,1,77
Piano,60,0.0,1,72
Piano,64,0.0,1,69
Piano,72,0.0,1,74
Piano,79,0.0,1,65
Piano,84,0.0,1,75
Bass,43,1.0,0.750,69
Drums,44,1.0,0.25,77
Bass,36,2.0,1,80
Drums,44,2.0,0.25,79
Piano,55,2.0,1,62
Piano,60,2.0,1,63
Piano,64,2.0,1,76
Piano,72,2.0,1,74
Piano,79,2.0,1,74
Piano,84,2.0,1,68
Bass,31,3.0,1,60
Drums,44,3.0,0.25,68
Bar~1@4,Swing,4/4,A,140.0
Bass,36,4.0,0.5,61
Drums,44,4.0,0.25,67
Piano,48,4.0,1,60
Piano,52,4.0,1,71
Piano,55,4.0,1,70
Piano,60,4.0,1,76
Bass,35,5.0,1,75
Drums,44,5.0,0.25,72
Bass,36,6.0,1,60
Drums,44,6.0,0.25,76
Bass,31,7.0,0.666,77
Drums,44,7.0,0.25,79
Bar~2@8,Swing,4/4,A,140.0
Bass,35,8.0,1,67
Drums,44,8.0,0.25,70
Piano,50,8.0,1,70
Piano,59,8.0,1,80
Piano,65,8.0,1,68
Piano,71,8.0,1,71
Piano,77,8.0,1,69
Bass,41,9.0,1,69
Drums,44,9.0,0.25,68
Bass,35,10.0,1,65
Drums,44,10.0,0.25,75
Piano,50,10.0,1,74
Piano,59,10.0,1,79
Piano,65,10.0,1,65
Piano,71,10.0,1,79
Piano,77,10.0,1,68
Bass,29,11.0,1,69
Drums,44,11.0,0.25,65
Piano,50,11.0,1,65
Piano,59,11.0,1,79
Piano,65,11.0,1,66
Piano,71,11.0,1,78
Piano,77,11.0,1,75
Bar~3@12,Swing,4/4,A,140.0
Bass,28,12.0,1,71
Drums,36,12.0,0.25,61
Drums,44,12.0,0.25,73
Piano,47,12.0,0.666,71
Piano,52,12.0,0.666,61
Piano,56,12.0,0.666,62
Piano,64,12.0,0.666,66
Piano,71,12.0,0.666,73
Piano,76,12.0,0.666,79
Bass,35,13.0,1,73
Drums,36,13.0,0.25,70
Drums,44,13.0,0.25,72
Bass,40,14.0,1,78
Drums,44,14.0,0.25,79
Bass,34,15.0,1,68
Drums,44,15.0,0.25,77
Bar~4@16,Swing,4/4,A,140.0
Bass,33,16.0,1,68
Drums,44,16.0,0.333,62
Bass,33,17.0,1,62
Drums,44,17.0,0.333,76
Bass,33,18.0,1,73
Drums,44,18.0,0.333,69
Bass,40,19.0,0.666,64
Drums,44,19.0,0.333,60
Bar~5@20,Swing,4/4,A,140.0
Bass,33,20.0,1,75
Drums,44,20.0,0.333,69
Bass,35,21.0,1,76
Drums,44,21.0,0.333,68
Bass,36,22.0,1,71
Drums,44,22.0,0.333,68
Bass,33,23.0,0.750,76
Drums,44,23.0,0.25,66
Piano,57,23.0,1,69
Piano,60,23.0,1,66
Piano,64,23.0,1,80
Piano,69,23.0,1,70
Bar~6@24,Swing,4/4,A,140.0
Bass,43,24.0,0.750,63
Drums,44,24.0,0.333,80
Bass,46,25.0,1,75
Drums,44,25.0,0.333,75
Bass,31,26.0,0.5,65
Drums,44,26.0,0.333,76
Piano,55,26.0,0.333,74
Piano,58,26.0,0.333,70
Piano,62,26.0,0.333,71
Piano,67,26.0,0.333,80
Bass,35,27.0,1,74
Drums,44,27.0,0.333,63
Bar~7@28,Swing,4/4,A,140.0
Bass,36,28.0,1,62
Drums,36,28.0,0.333,74
Drums,44,28.0,0.333,78
Bass,43,29.0,1,71
Drums,44,29.0,0.333,77
Piano,55,29.0,0.333,74
Piano,60,29.0,0.333,76
Piano,64,29.0,0.333,62
Piano,67,29.0,0.333,67
Bass,31,30.0,0.5,74
Drums,44,30.0,0.25,71
Piano,55,30.0,1,80
Piano,60,30.0,1,63
Piano,64,30.0,1,63
Piano,67,30.0,1,63
Bass,29,31.0,0.5,73
Drums,44,31.0,0.25,63
Bar~8@32,Swing,4/4,A,140.0
Bass,36,33.0,1,77
Drums,44,33.0,0.25,68
Bass,45,34.0,1,69
Drums,36,34.0,0.25,66
Piano,57,34.0,0.666,70
Piano,65,34.0,0.666,67
Piano,72,34.0,0.666,68
Piano,77,34.0,0.666,67
Piano,84,34.0,0.666,63
Bass,48,35.0,0.666,76
Drums,44,35.0,0.25,65
Bar~9@36,Swing,4/4,A,140.0
Bass,46,36.0,1,73
Drums,36,36.0,0.25,71
Bass,41,37.0,1,60
Drums,44,37.0,0.25,71
Piano,50,37.0,1,62
Piano,58,37.0,1,72
Piano,65,37.0,1,65
Piano,70,37.0,1,70
Piano,77,37.0,1,68
Bass,34,38.0,1,65
Bass,29,39.0,0.750,66
Drums,36,39.0,0.25,71
Drums,44,39.0,0.25,75
Bar~10@40,Swing,4/4,A,140.0
Bass,28,40.0,0.750,68
Piano,52,40.0,1,61
Piano,55,40.0,1,65
Piano,59,40.0,1,74
Piano,64,40.0,1,67
Bass,39,41.0,1,68
Drums,36,41.0,0.25,60
Drums,44,41.0,0.25,74
Bass,28,42.0,0.5,79
Bass,35,43.0,1,67
Drums,44,43.0,0.25,70
Bar~11@44,Swing,4/4,A,140.0
Bass,37,44.0,1,73
Bass,33,45.0,1,60
Drums,44,45.0,0.25,71
Bass,33,46.0,1,66
Bass,40,47.0,1,72
Drums,44,47.0,0.25,64
Piano,57,47.0,0.333,79
Piano,61,47.0,0.333,63
Piano,64,47.0,0.333,66
Piano,69,47.0,0.333,78
Bar~12@48,Swing,4/4,A,140.0
Bass,38,48.0,1,70
Piano,54,48.0,1,62
Piano,57,48.0,1,73
Piano,62,48.0,1,69
Piano,69,48.0,1,71
Bass,45,49.0,0.750,80
Drums,44,49.0,0.25,77
Bass,38,50.0,0.666,71
Piano,62,50.0,1,61
Piano,66,50.0,1,74
Piano,69,50.0,1,71
Piano,74,50.0,1,70
Bass,38,51.0,1,64
Drums,44,51.0,0.25,75
Bar~13@52,Swing,4/4,A,140.0
Bass,38,52.0,1,62
Piano,54,52.0,1,76
Piano,57,52.0,1,66
Piano,62,52.0,1,66
Piano,69,52.0,1,66
Bass,38,53.0,1,62
Drums,44,53.0,0.25,71
Bass,38,54.0,1,70
Piano,54,54.0,1,79
Piano,57,54.0,1,68
Piano,62,54.0,1,77
Piano,69,54.0,1,79
Bass,38,55.0,0.750,61
Drums,44,55.0,0.25,75
Bar~14@56,Swing,4/4,A,140.0
Bass,38,56.0,0.5,78
Piano,50,56.0,1,80
Piano,53,56.0,1,64
Piano,57,56.0,1,76
Piano,62,56.0,1,79
Bass,41,57.0,1,61
Drums,44,57.0,0.25,74
Bass,38,58.0,1,78
Drums,36,58.0,0.25,80
Piano,53,58.0,1,76
Piano,57,58.0,1,68
Piano,62,58.0,1,65
Piano,69,58.0,1,67
Bass,42,59.0,1,79
Drums,44,59.0,0.25,63
Bar~15@60,Swing,4/4,A,140.0
Bass,43,60.0,1,66
Piano,55,60.0,1,67
Piano,59,60.0,1,73
Piano,62,60.0,1,67
Piano,67,60.0,1,77
Bass,32,61.0,1,77
Drums,44,61.0,0.25,80
Bass,31,62.0,0.5,80
Piano,55,62.0,1,67
Piano,59,62.0,1,68
Piano,62,62.0,1,60
Piano,67,62.0,1,66
Bass,38,63.0,0.5,63
Drums,44,63.0,0.25,75
Bar~16@64,Swing,4/4,A,140.0
Bass,36,64.0,1,78
Bass,36,65.0,1,62
Drums,44,65.0,0.333,61
Bass,36,66.0,1,61
Drums,44,66.0,0.333,62
Bass,43,67.0,0.666,60
Drums,44,67.0,0.333,78
Bar~17@68,Swing,4/4,A,140.0
Bass,36,68.0,1,76
Drums,44,68.0,0.25,72
Bass,31,69.0,1,60
Drums,44,69.0,0.25,67
Bass,36,70.0,1,62
Drums,44,70.0,0.333,67
Bass,40,71.0,0.5,61
Drums,44,71.0,0.333,61
Piano,60,71.0,1,68
Piano,64,71.0,1,78
Piano,67,71.0,1,78
Piano,72,71.0,1,77
Bar~18@72,Swing,4/4,A,140.0
Bass,47,72.0,0.750,63
Drums,36,72.0,0.333,75
Drums,44,72.0,0.333,79
Bass,41,73.0,1,64
Drums,44,73.0,0.333,74
Bass,35,74.0,1,76
Piano,50,74.0,0.333,60
Piano,59,74.0,0.333,77
Piano,65,74.0,0.333,62
Piano,71,74.0,0.333,79
Piano,77,74.0,0.333,61
Bass,29,75.0,1,68
Drums,44,75.0,0.333,77
