kern2csv4playerString:  Bar~0@0, B, 4/4, A, 140
Bass, 33, 0.0, 1, 66
Drums, 36, 0.0, 1, 61
Drums, 44, 0.0, 1, 70
Piano, 48, 0.0, 1, 60
Piano, 52, 0.0, 1, 76
Piano, 57, 0.0, 1, 70
Piano, 64, 0.0, 1, 68
Piano, 69, 0.0, 1, 62
Piano, 76, 0.0, 1, 80
Drums, 44, 1.0, 1, 68
Bass, 33, 2.0, 1, 79
Drums, 36, 2.0, 1, 63
Drums, 44, 2.0, 1, 62
Drums, 44, 3.0, 1, 76
Bar~1@4, B, 4/4, A, 140
Bass, 33, 4.0, 1, 70
Drums, 36, 4.0, 1, 68
Drums, 44, 4.0, 1, 79
Drums, 44, 5.0, 1, 74
Bass, 33, 6.0, 1, 67
Drums, 36, 6.0, 1, 69
Drums, 44, 6.0, 1, 76
Piano, 57, 6.0, 1, 67
Piano, 60, 6.0, 1, 72
Piano, 64, 6.0, 1, 62
Piano, 69, 6.0, 1, 68
Drums, 44, 7.0, 1, 68
Bar~2@8, B, 4/4, A, 140
Bass, 36, 8.0, 1, 62
Drums, 36, 8.0, 1, 63
Drums, 44, 8.0, 1, 63
Piano, 55, 8.0, 1, 61
Piano, 60, 8.0, 1, 76
Piano, 64, 8.0, 1, 62
Piano, 67, 8.0, 1, 65
Drums, 44, 9.0, 1, 70
Bass, 48, 10.0, 1, 70
Drums, 36, 10.0, 1, 73
Drums, 44, 10.0, 1, 63
Bass, 43, 11.0, 1, 65
Drums, 44, 11.0, 1, 80
Bar~3@12, B, 4/4, A, 140
Bass, 43, 12.0, 1, 74
Drums, 36, 12.0, 1, 63
Drums, 44, 12.0, 1, 79
Drums, 44, 13.0, 1, 76
Bass, 36, 14.0, 1, 67
Drums, 36, 14.0, 1, 80
Drums, 44, 14.0, 1, 77
Piano, 55, 14.0, 1, 78
Piano, 60, 14.0, 1, 70
Piano, 64, 14.0, 1, 62
Piano, 72, 14.0, 1, 64
Piano, 79, 14.0, 1, 72
Piano, 84, 14.0, 1, 72
Drums, 44, 15.0, 1, 68
Bar~4@16, B, 4/4, A, 140
Bass, 28, 16.0, 1, 76
Drums, 36, 16.0, 1, 72
Drums, 44, 16.0, 1, 74
Drums, 44, 17.0, 1, 71
Bass, 28, 18.0, 1, 76
Drums, 36, 18.0, 1, 72
Drums, 44, 18.0, 1, 80
Drums, 44, 19.0, 1, 72
Bar~5@20, B, 4/4, A, 140
Bass, 30, 20.0, 1, 74
Drums, 36, 20.0, 1, 65
Drums, 44, 20.0, 1, 75
Drums, 44, 21.0, 1, 65
Bass, 35, 22.0, 1, 60
Drums, 36, 22.0, 1, 80
Drums, 44, 22.0, 1, 65
Bass, 39, 23.0, 1, 67
Drums, 44, 23.0, 1, 80
Bar~6@24, B, 4/4, A, 140
Bass, 40, 24.0, 1, 71
Drums, 36, 24.0, 1, 71
Drums, 44, 24.0, 1, 61
Drums, 44, 25.0, 1, 66
Bass, 33, 26.0, 1, 75
Drums, 36, 26.0, 1, 67
