kern2csv4playerString: Bar~0@0, Swing, 4/4, A, 140
Bass, 36, 0.0, 1, 68
Drums, 44, 0.0, 1, 71
Piano, 59, 0.0, 1, 66
Piano, 52, 0.0, 1, 68
Piano, 69, 0.0, 1, 69
Piano, 62, 0.0, 1, 60
Bass, 40, 1.0, 1, 79
Drums, 44, 1.0, 0.333, 68
Drums, 44, 1.666, 0.333, 74
Bass, 36, 2.0, 1, 80
Drums, 44, 2.0, 1, 63
Bass, 33, 3.0, 1, 74
Drums, 44, 3.0, 0.333, 69
Drums, 36, 3.666, 0.333, 63
Drums, 44, 3.666, 0.333, 62
Bar~1@4, Swing, 4/4, A, 140
Bass, 31, 4.0, 1, 76
Drums, 44, 4.0, 1, 65
Bass, 34, 5.0, 1, 61
Drums, 44, 5.0, 0.333, 62
Piano, 59, 5.0, 1, 76
Piano, 53, 5.0, 1, 71
Piano, 67, 5.0, 1, 72
Piano, 61, 5.0, 1, 74
Drums, 36, 5.666, 0.333, 63
Drums, 44, 5.666, 0.333, 77
Bass, 35, 6.0, 1, 68
Drums, 44, 6.0, 1, 64
Piano, 59, 6.0, 1, 73
Piano, 53, 6.0, 1, 77
Piano, 67, 6.0, 1, 77
Piano, 61, 6.0, 1, 65
Drums, 36, 6.666, 0.333, 66
Bass, 38, 7.0, 1, 62
Drums, 44, 7.0, 1, 71
Bar~2@8, Swing, 4/4, A, 140
Bass, 41, 8.0, 1, 67
Drums, 44, 8.0, 1, 70
Piano, 58, 8.0, 1, 73
Piano, 55, 8.0, 1, 65
Piano, 49, 8.0, 1, 75
Piano, 65, 8.0, 1, 71
Bass, 43, 9.0, 1, 73
Drums, 44, 9.0, 1, 66
Bass, 49, 10.0, 1, 77
Drums, 44, 10.0, 1, 66
Bass, 41, 11.0, 1, 70
Drums, 44, 11.0, 0.333, 67
Drums, 36, 11.666, 0.333, 80
Drums, 44, 11.666, 0.333, 68
Bar~3@12, Swing, 4/4, A, 140
Bass, 40, 12.0, 1, 77
Drums, 44, 12.0, 1, 76
Bass, 38, 13.0, 1, 70
Drums, 36, 13.0, 1, 61
Drums, 44, 13.0, 1, 75
Piano, 55, 13.0, 1, 61
Piano, 82, 13.0, 1, 76
Piano, 74, 13.0, 1, 63
Piano, 70, 13.0, 1, 60
Piano, 64, 13.0, 1, 60
Piano, 62, 13.0, 1, 70
Bass, 37, 14.0, 1, 70
Piano, 55, 14.0, 1, 60
Piano, 82, 14.0, 1, 68
Piano, 76, 14.0, 1, 68
Piano, 70, 14.0, 1, 73
Piano, 64, 14.0, 1, 60
Piano, 61, 14.0, 1, 75
Drums, 36, 14.666, 0.333, 72
Drums, 44, 14.666, 0.333, 60
Bass, 40, 15.0, 1, 80
Drums, 44, 15.0, 1, 69
Bar~4@16, Swing, 4/4, A, 140
Bass, 33, 16.0, 1, 61
Drums, 44, 16.0, 1, 67
Bass, 28, 17.0, 1, 71
Drums, 44, 17.0, 0.333, 80
Drums, 44, 17.666, 0.333, 62
Bass, 36, 18.0, 1, 77
Drums, 44, 18.0, 1, 67
